/db1/myserver/mariadb/bin/mariadbd, Version: 10.11.6-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/mysql.sock
Time		    Id Command	Argument
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'virtual_db_map'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'virtual_table_map'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `virtual_table_map`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='virtual_table_map' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `virtual_table_name`, `virtual_db_name`, `username`, `created_at`, `last_updated_at`, `created_by`, `last_updated_by`, `deleted_by`, `status` FROM `virtual_table_map`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_access_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'virtual_table_map'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	UNLOCK TABLES
		   108 Init DB	dbmanager_audit_db
		   108 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_audit_db`
		   108 Query	SHOW FULL TABLES
		   108 Query	LOCK TABLES `login_audit_log` READ /*!32311 LOCAL */,`session_audit_log` READ /*!32311 LOCAL */,`signup_audit_log` READ /*!32311 LOCAL */
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'login_audit_log'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `login_audit_log`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='login_audit_log' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `username`, `status`, `reason`, `ip_address`, `user_agent`, `token_issued`, `status_code`, `timestamp`, `created_by` FROM `login_audit_log`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_audit_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'login_audit_log'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'session_audit_log'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `session_audit_log`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='session_audit_log' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `username`, `token_hash`, `status`, `logout_reason`, `ip_address`, `user_agent`, `login_time`, `logout_time`, `created_by` FROM `session_audit_log`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_audit_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'session_audit_log'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'signup_audit_log'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `signup_audit_log`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='signup_audit_log' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `username`, `status`, `reason`, `ip_address`, `user_agent`, `status_code`, `timestamp`, `created_by` FROM `signup_audit_log`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_audit_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'signup_audit_log'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	UNLOCK TABLES
		   108 Init DB	dbmanager_user_data
		   108 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_user_data`
		   108 Query	SHOW FULL TABLES
		   108 Query	LOCK TABLES `testadmin1_db1_table1` READ /*!32311 LOCAL */,`testadmin2_db2_table2` READ /*!32311 LOCAL */
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'testadmin1_db1_table1'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `testadmin1_db1_table1`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='testadmin1_db1_table1' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `name` FROM `testadmin1_db1_table1`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_user_data
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'testadmin1_db1_table1'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'testadmin2_db2_table2'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `testadmin2_db2_table2`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='testadmin2_db2_table2' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `name` FROM `testadmin2_db2_table2`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_user_data
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'testadmin2_db2_table2'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	UNLOCK TABLES
		   108 Init DB	dbmanager_user_db
		   108 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_user_db`
		   108 Query	SHOW FULL TABLES
		   108 Query	LOCK TABLES `user_details` READ /*!32311 LOCAL */
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'user_details'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `user_details`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='user_details' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `username`, `status`, `role`, `created_at`, `last_updated_at`, `created_by`, `last_updated_by`, `deleted_by` FROM `user_details`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_user_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'user_details'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	UNLOCK TABLES
		   108 Init DB	dbmanager_user_secret_db
		   108 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_user_secret_db`
		   108 Query	SHOW FULL TABLES
		   108 Query	LOCK TABLES `user_secret` READ /*!32311 LOCAL */
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'user_secret'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `user_secret`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='user_secret' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `username`, `password_hash`, `created_at`, `last_updated_at` FROM `user_secret`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_user_secret_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'user_secret'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	UNLOCK TABLES
		   108 Init DB	mysql
		   108 Query	SHOW CREATE DATABASE IF NOT EXISTS `mysql`
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'general_log'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `general_log`
		   108 Quit	
250803  0:03:01	   109 Connect	root@localhost on  using Socket
		   109 Query	FLUSH LOGS
